,景区名称,地区,景区等级,经度BD,纬度BD,经度BD_wgs84,纬度BD_wgs84
45,韩村河景区,北京,3A,115.9603916,39.60794189,115.9479149,39.60096441
46,北京百瑞谷景区,北京,3A,115.659979,39.86190305,115.6473793,39.85476397
47,北京市西周燕都遗址博物馆,北京,3A,116.0633186,39.62290686,116.0506222,39.61535383
48,龙门生态园景区,北京,3A,115.907708,39.62365007,115.8953567,39.61646169
49,房山世界地质公园博物馆,北京,3A,115.880227,39.59056202,115.8677187,39.58382927
50,张坊古战道,北京,3A,115.720894,39.57696712,115.7081987,39.56991544
51,北京莱恩堡国际酒庄,北京,3A,116.2187779,39.79011448,116.2061131,39.78320336
52,上方山国家森林公园,北京,3A,115.83208,39.68001212,115.819552,39.67284154
53,北京十渡风景名胜区,北京,4A,115.606398,39.64440307,115.5937997,39.63758068
54,中粮智慧农场,北京,3A,116.076944,39.59682888,116.0641755,39.58949866
55,青龙湖水上游乐园,北京,3A,116.087852,39.79423712,116.0749844,39.7870516
56,云居寺,北京,4A,115.7813913,39.61520818,115.7687298,39.60795783
57,圣莲山旅游度假区,北京,4A,115.7375883,39.84753208,115.7247441,39.84064788
58,没有共产党就没有新中国纪念馆,北京,2A,115.5911782,39.7868478,115.5786635,39.77974106
59,石花洞,北京,4A,115.949587,39.80389211,115.9371924,39.7967194
60,周口店遗址博物馆,北京,4A,115.9432415,39.69358891,115.9309082,39.68634148
61,北京百花山旅游景区,北京,3A,115.5975277,39.84011149,115.5849772,39.83311906
62,坡峰岭风景区,北京,2A,115.8442702,39.70977933,115.8317008,39.70284448
63,窦店清真寺,北京,2A,116.0723381,39.6441759,116.0595719,39.63674933
64,北京首创奥莱休闲驿站景区,北京,3A,116.194065,39.76917206,116.1814503,39.76185331
65,仙栖洞景区,北京,3A,115.7557573,39.66531004,115.7429368,39.65843665
66,中华石雕艺术园,北京,2A,115.8287818,39.55630375,115.816276,39.54909644
67,银狐洞,北京,2A,115.910029,39.8043181,115.8976993,39.79708069
68,北京韩美林艺术馆,北京,4A,116.6834787,39.88148493,116.6709799,39.87446453
69,通州大运河森林旅游区,北京,4A,116.748887,39.88240008,116.7363666,39.87495813
70,中国民兵武器装备陈列馆,北京,3A,116.6768005,39.94362401,116.6643892,39.93650611
71,通州运河公园,北京,3A,116.6949342,39.91401939,116.6823696,39.90714766
72,北京奥林匹克水上公园,北京,4A,116.3992058,39.99924492,116.3865457,39.99150908
73,北京焦庄户地道战遗址纪念馆,北京,3A,116.8764611,40.24016882,116.8640707,40.23276793
74,北京顺鑫中盛会议中心,北京,3A,116.7495302,40.08494182,116.7370063,40.0774874
75,北京顺义国际鲜花港,北京,4A,116.8035636,40.1876885,116.7909439,40.18061359
76,北京河北村民俗文化有限公司,北京,3A,116.7352556,40.13735536,116.7226486,40.13014505
77,北京顺义汉石桥湿地景区,北京,3A,116.816552,40.13014,116.8038703,40.12325964
78,意大利农场,北京,3A,116.63918,40.17058904,116.626951,40.16319133
79,蟒山国家森林公园,北京,3A,116.299772,40.27075502,116.2872625,40.2632073
80,北京十三陵双龙山森林公园,北京,2A,116.172305,40.35107904,116.1596524,40.3433703
81,乐多港假日广场,北京,4A,116.196534,40.23888865,116.1838471,40.23158273
82,小汤山现代农业示范园区,北京,4A,116.4301173,40.16624801,116.4174115,40.15873001
83,龙脉温泉度假村,北京,4A,116.405984,40.18731507,116.3933414,40.17955003
84,十三陵,北京,5A,116.231846,40.26354398,116.2191321,40.25662187
85,银山塔林风景区,北京,4A,116.335109,40.320998,116.3223271,40.31393335
86,温都水城,北京,4A,116.377017,40.11026409,116.3642571,40.10285556
87,敕赐和平寺景区,北京,2A,116.0715396,40.22946488,116.0587041,40.22197343
88,天池风景区,北京,2A,116.299803,40.27240306,116.2872946,40.26485586
89,艺麓园,北京,3A,116.154216,40.24883301,116.1415117,40.24117079
90,静之湖度假区,北京,3A,116.44746,40.24766301,116.4346368,40.24044901
91,中国航空博物馆,北京,4A,116.372885,40.19209504,116.3601257,40.18476909
92,虎峪自然风景区,北京,2A,116.1134175,40.33126151,116.1004265,40.32414448
93,居庸关长城,北京,4A,116.0791594,40.29697172,116.0662947,40.28960755
94,大岭沟猕猴桃谷风景区,北京,2A,116.231487,40.37510501,116.2187496,40.36815334
95,北京后花园风景区,北京,2A,116.104689,40.13312802,116.0917044,40.1260619
96,北京草莓博览园,北京,3A,116.4126729,40.20832113,116.4000041,40.20056506
97,中国北方国际射击场,北京,3A,116.1089989,40.24450123,116.0959972,40.2374176
98,北京南海子麋鹿苑博物馆,北京,3A,116.4651419,39.78459282,116.4523842,39.77761307
99,绿野晴川野生动物园,北京,4A,116.3421973,39.50245469,116.3294676,39.49552943
100,留民营生态农场,北京,3A,116.5811419,39.7004723,116.5687762,39.69378252
101,中华文化园,北京,3A,116.300943,39.7894692,116.2884846,39.78197247
102,中国印刷博物馆,北京,3A,116.33823,39.74899309,116.3254826,39.74199744
103,长力金源（北京）热带植物园,北京,3A,116.6001778,39.66474808,116.587832,39.65799668
104,慕田峪长城,北京,5A,116.5716113,40.43744204,116.5591602,40.43055117
105,百泉山风景区,北京,2A,116.6445403,40.4876334,116.6322359,40.4801073
106,北京市青龙峡旅游度假有限责任公司,北京,4A,116.689259,40.46787098,116.6766391,40.46083735
107,云梦仙境景区,北京,3A,116.7013919,40.62617969,116.6886936,40.61916757
108,北京九谷口自然风景区,北京,3A,116.668525,40.45037905,116.6561034,40.44303784
109,北京二锅头酒博物馆,北京,3A,116.6715729,40.33208754,116.6591376,40.32483236
110,红螺寺,北京,4A,116.632411,40.39045402,116.6201319,40.38307802
111,北京黄花城水长城旅游区,北京,4A,116.3071674,40.41928678,116.2946038,40.41179469
112,生存岛新概念旅游基地,北京,3A,116.647749,40.37125101,116.6354541,40.36376412
113,幽谷神潭自然风景区,北京,3A,116.6847463,40.53755962,116.6721906,40.53044365
114,北京喇叭沟原始森林公园,北京,3A,116.4957114,40.96573675,116.4830079,40.95805604
115,石门山景区,北京,3A,116.669401,40.49147801,116.656958,40.48412918
116,星美今晟影视城景区,北京,3A,116.6765793,40.29928047,116.6641271,40.2921231
117,鹿世界主题园景区,北京,2A,116.708342,40.30061801,116.6956827,40.29374983
118,北京圣泉山旅游风景区,北京,3A,116.577581,40.37004502,116.5651032,40.36324137
119,北京鹅和鸭农庄风景区,北京,3A,116.564865,40.33762914,116.5524296,40.3306538
120,神堂峪自然风景区,北京,2A,116.6199596,40.44553642,116.6076203,40.43834596
121,响水湖旅游区,北京,3A,116.49528,40.47287005,116.4826337,40.46553625
122,雁栖湖旅游区,北京,4A,116.6735741,40.39868287,116.66113,40.39144552
123,老象峰旅游区,北京,2A,117.023155,40.31832301,117.010383,40.31077459
124,北京老泉樱花园景区,北京,2A,117.1434508,40.31759982,117.130467,40.30994815
125,京东大峡谷旅游区,北京,4A,117.176848,40.25114307,117.1637258,40.24408448
126,金海湖风景区,北京,4A,117.310896,40.18734807,117.2977951,40.18038792
127,德双睿景区,北京,1A,116.4024527,39.90433862,116.3898262,39.89659402
128,北京京东石林峡景区服务管理有限公司,北京,4A,117.2485101,40.26879411,117.2357153,40.26117484
129,北京丛海逸园景区,北京,2A,117.0334791,40.26297305,117.020601,40.25557473
130,北京胜泉亲水湾旅游景区,北京,1A,117.1070736,40.30368947,117.0940708,40.29605238
131,北京渔阳国际滑雪场景区,北京,4A,117.154293,40.08589998,117.1412854,40.07847737
132,京东老泉山野公园,北京,2A,117.1404282,40.30555066,117.1274647,40.29786062
133,挂甲峪旅游度假区,北京,1A,117.116904,40.26460304,117.1039282,40.25684774
134,北京丫髻山道教文化名胜区,北京,4A,116.9885986,40.27081234,116.9759801,40.26339551
135,湖洞水景区,北京,2A,117.261254,40.27799597,117.2484276,40.27047596
136,紫海香堤香草艺术庄园,北京,2A,117.2191559,40.65895255,117.2062049,40.65145023
137,云峰山自然风景区,北京,3A,116.956173,40.59306801,116.9434398,40.58611546
138,捧河湾自然风景区,北京,3A,116.820405,40.62038303,116.8076649,40.61337994
139,云蒙山森林公园,北京,3A,116.737547,40.60093099,116.724882,40.59352483
140,京都第一瀑景区,北京,2A,116.7917981,40.59860172,116.7791499,40.59114529
141,司马台长城景区,北京,4A,117.292856,40.66364899,117.2797605,40.65645708
142,桃源仙谷自然风景区,北京,3A,116.800628,40.54747601,116.7879758,40.5402322
143,北京古御道生态旅游开发有限公司,北京,3A,115.7236289,39.5861574,115.7109104,39.57914659
144,北京邑仕庄园国际酒庄有限公司,北京,3A,117.055184,40.49205303,117.0420636,40.48487109
145,云岫谷游猎自然风景区,北京,2A,117.3901864,40.60673429,117.3769598,40.59903071
146,清凉谷旅游风景区,北京,3A,116.760289,40.639792,116.7477391,40.63205316
147,云蒙三峪自然风景区,北京,2A,116.732418,40.49633802,116.7197508,40.48908795
148,北京力维斯白龙潭景区,北京,3A,117.0772617,40.50102266,117.0640836,40.49380738
149,古北口文化文物旅游区,北京,2A,117.1721769,40.68976132,117.1590126,40.6824565
150,北京首云铁矿公园,北京,3A,117.0203045,40.38541964,117.0075414,40.37782
151,仙居谷风景区,北京,4A,117.244405,40.59496798,117.2315459,40.58721366
152,北京云蒙山长城遗址公园,北京,2A,116.8231109,40.54310015,116.8104048,40.53616618
153,玫瑰情园旅游景区,北京,3A,116.911699,40.35674002,116.8992248,40.34954768
154,伊利集团北京乳品厂,北京,2A,116.809804,40.3552869,116.7971041,40.34827351
155,北京张裕爱菲堡国际酒庄,北京,4A,116.908452,40.38194305,116.8960112,40.37469214
156,雾灵西峰景区,北京,3A,117.368983,40.64022203,117.3558994,40.6322971
157,北京天门山旅游风景区,北京,2A,116.794476,40.59804398,116.7818139,40.59063948
158,冶仙塔景区,北京,3A,116.873389,40.40771802,116.8609992,40.40031418
159,密云云龙涧景区,北京,3A,116.792416,40.49497202,116.7797863,40.48758487
160,黑龙潭旅游区,北京,4A,116.7937368,40.56935487,116.7810977,40.56195778
161,八达岭滑雪俱乐部,北京,3A,115.964369,40.35290304,115.9517494,40.34589278
162,阳光时代马球俱乐部,北京,3A,115.865356,40.40725915,115.8526855,40.40048492
163,龙庆峡旅游区,北京,4A,116.0099275,40.55776529,115.997171,40.55052916
164,八达岭古长城,北京,3A,115.984126,40.34463405,115.9713819,40.33778176
165,野鸭湖国家湿地公园,北京,4A,115.864188,40.41667202,115.851516,40.40989138
166,八达岭水关长城景区,北京,4A,116.024067,40.36263905,116.0113495,40.35518173
167,北京八达岭世界葡萄博览中心,北京,4A,115.879672,40.47152305,115.8670174,40.46465135
168,古崖居原始部落旅游度假区,北京,3A,115.7819635,40.46910409,115.7691897,40.46171429
169,八达岭长城风景名胜区,北京,5A,116.024067,40.36263905,116.0113495,40.35518173
170,万科石京龙滑雪场,北京,3A,115.976121,40.53123201,115.9634277,40.52429278
171,延庆百里山水画廊景区,北京,4A,116.3262415,40.70653031,116.3134491,40.69917017
172,玉渡山风景区,北京,2A,115.895804,40.55825998,115.8832792,40.55111302
173,北京八达岭野生动物世界有限公司,北京,3A,116.0034458,40.35697149,115.9906756,40.34993178
174,松山森林旅游区,北京,4A,115.836964,40.51528902,115.8243112,40.50807894
175,北京市东城区青年湖公园,北京,3A,116.408933,39.96127705,116.3963068,39.95352632
176,前门大街景区,北京,3A,116.404588,39.90552399,116.3919642,39.89777316
177,孔庙和国子监博物馆,北京,4A,116.4202669,39.95288,116.4076247,39.94521898
178,天坛公园,北京,5A,116.417246,39.88824296,116.4045941,39.88054106
179,京城百工坊,北京,2A,116.4409682,39.88933532,116.4282165,39.88203108
180,中山公园,北京,4A,116.400582,39.9167023,116.3879633,39.90897057
181,北京市劳动人民文化宫,北京,2A,116.406326,39.91710911,116.3937119,39.90935949
182,明城墙遗址公园,北京,4A,116.4345453,39.90720947,116.4218362,39.89978499
183,地坛公园,北京,4A,116.4213582,39.95990303,116.4087052,39.95225381
184,故宫博物院,北京,5A,116.4034139,39.92409137,116.3908028,39.91634821
185,南新仓文化休闲街景区,北京,3A,116.4375399,39.93781412,116.4248306,39.93045268
186,龙潭公园,北京,4A,116.444742,39.88584807,116.4319738,39.87861405
187,北京大观园,北京,3A,116.3627356,39.87717438,116.3499471,39.8700375
188,北海公园,北京,4A,116.3954796,39.93290949,116.3828563,39.92522233
189,北京海洋馆,北京,4A,116.3475419,39.95027727,116.3347682,39.94329312
190,北京市大栅栏商业街区,北京,3A,116.401134,39.902105,116.388504,39.89436604
191,首都博物馆,北京,4A,116.3488218,39.912174,116.336043,39.90518431
192,北京月坛公园,北京,3A,116.3588744,39.92213191,116.3461043,39.91505858
193,北京市宣南文化博物馆,北京,3A,116.3715396,39.89871834,116.3587924,39.89143039
194,北京市古代钱币展览馆,北京,3A,116.386005,39.95599201,116.3733346,39.9484339
195,北京湖广会馆大戏楼,北京,3A,116.390834,39.89505208,116.3781713,39.88741425
196,景山公园,北京,4A,116.402818,39.93227005,116.3902086,39.92452972
197,恭王府,北京,5A,116.3925993,39.94338117,116.3799647,39.93572695
198,宋庆龄故居,北京,3A,116.3895767,39.95200458,116.376925,39.94439047
199,北京动物园,北京,4A,116.343376,39.94773508,116.3306149,39.94075522
200,北京天文馆,北京,4A,116.3432075,39.94327275,116.3304497,39.93629358
201,中国地质博物馆,北京,3A,116.3786534,39.92951783,116.3659603,39.92209887
202,历代帝王庙,北京,2A,116.373977,39.93072904,116.3612619,39.92340132
203,什刹海风景区,北京,4A,116.391128,39.947583,116.3784856,39.93994764
204,北京老舍茶馆,北京,3A,116.399655,39.906059,116.387026,39.89833024
205,陶然亭公园,北京,4A,116.388442,39.88066,116.3757637,39.8730558
206,金中都公园,北京,3A,116.356383,39.877073,116.3435823,39.87001981
207,北京市宣武艺园,北京,3A,116.365768,39.900955,116.3529998,39.89377254
208,将府公园,北京,3A,116.512074,39.982214,116.4996535,39.97474743
209,庆丰公园,北京,3A,116.4712072,39.9086682,116.4584597,39.90168678
210,中国藏学研究中心西藏文化博物馆,北京,3A,116.421116,39.995564,116.4084345,39.98790158
211,圣露庄园,北京,3A,116.494174,40.052333,116.4816073,40.04511785
212,京城梨园,北京,3A,116.55747,39.939721,116.5451418,39.93265776
213,北京市朝阳区元大都城垣遗址公园,北京,4A,116.409246,39.982403,116.3965979,39.9746457
214,蟹岛绿色生态农庄,北京,4A,116.554475,40.025529,116.5421286,40.01839481
215,古塔公园,北京,3A,116.541838,39.8849241,116.529527,39.87755553
216,四得公园,北京,3A,116.480987,39.977874,116.4682792,39.97082548
217,北小河公园,北京,3A,116.461515,40.01089307,116.4487092,40.00387783
218,北京陶瓷艺术馆,北京,3A,116.482754,39.861614,116.4700725,39.85455129
219,北京市朝阳区大望京公园,北京,3A,116.501132,40.002958,116.488605,39.99562699
220,北京蓝调庄园,北京,3A,116.614759,39.971582,116.6024444,39.96456841
221,红领巾公园,北京,3A,116.498608,39.9319,116.4861009,39.92462224
222,斯普瑞斯奧特萊斯,北京,3A,116.6029404,40.01784385,116.5905566,40.01102614
223,北京市奥林匹克公园,北京,5A,116.399206,39.999245,116.3865459,39.99150916
224,朝阳公园,北京,4A,116.489233,39.949861,116.4766263,39.94272169
225,北京欢乐谷,北京,4A,116.501366,39.87384806,116.4888562,39.86651878
226,北京中国紫檀博物馆,北京,4A,116.532472,39.916944,116.5201848,39.90946913
227,白鹿公园,北京,3A,116.560838,39.884316,116.5484677,39.87731037
228,北京市朝阳区日坛公园,北京,3A,116.450437,39.921342,116.4376771,39.91421303
229,兴隆公园,北京,3A,116.540303,39.919156,116.5280188,39.91177258
230,北京蓝色港湾,北京,3A,116.483523,39.955319,116.4708599,39.94825161
231,团结湖公园,北京,3A,116.471053,39.931586,116.4583177,39.92460934
232,世界公园,北京,4A,116.293994,39.816772,116.2815822,39.80921952
233,青龙湖公园,北京,3A,116.293994,39.816772,116.2815822,39.80921952
234,万芳亭公园,北京,2A,116.382511,39.864933,116.3698109,39.85743245
235,丰台花园,北京,2A,116.292561,39.870093,116.280111,39.86251727
236,北京园博园,北京,4A,116.197194,39.881733,116.1845504,39.87446729
237,中国园林博物馆,北京,4A,116.183773,39.885338,116.1711722,39.87782031
238,莲花池公园,北京,2A,116.319451,39.8983,116.3068271,39.89106898
239,世界花卉大观园,北京,4A,116.359769,39.840957,116.3470019,39.83387303
240,南宫旅游景区,北京,4A,116.159462,39.801509,116.146872,39.79385299
241,中国人民抗日战争纪念馆,北京,4A,116.232474,39.857753,116.2198056,39.85085781
242,北京汽车博物馆,北京,4A,116.308469,39.834959,116.2959603,39.82756058
243,北京市丰台区北宫国家森林公园管理处,北京,4A,116.12471,39.871839,116.1118226,39.86464727
244,抗日战争雕塑园,北京,3A,116.233079,39.855566,116.2204148,39.84866852
245,天津盘山风景名胜区,天津,5A,117.288913,40.102982,117.2758877,40.09592228
246,天津古文化街旅游区（津门故里）,天津,5A,117.199184,39.149532,117.1862549,39.14274701
247,天津周恩来邓颖超纪念馆,天津,4A,117.17134,39.100099,117.1584127,39.09327488
248,平津战役纪念馆景区,天津,4A,117.153464,39.175123,117.1405683,39.16791069
249,天津水上公园景区,天津,4A,117.174282,39.09454,117.1613494,39.0877604
250,天津蓟州区独乐寺景区,天津,4A,117.409625,40.051476,117.3963788,40.04427295
251,石家大院景区,天津,4A,117.0169773,39.14123946,117.0043846,39.13391317
252,天津泰达航母主题公园景区,天津,4A,117.820941,39.162358,117.8082413,39.15531813
253,“天津之眼”摩天轮,天津,4A,117.193047,39.159697,117.1800869,39.1529491
254,大沽口炮台遗址博物馆景区,天津,4A,117.716071,38.983732,117.7034178,38.97655601
255,天山海世界米立方水上乐园,天津,4A,117.442537,38.933349,117.4294325,38.92654783
256,天津东疆湾景区,天津,4A,117.832457,39.013278,117.8198789,39.00617385
257,天津方特欢乐世界景区,天津,4A,117.74575,39.160382,117.7329747,39.15317144
258,天津天塔湖风景区,天津,4A,117.188361,39.098582,117.1754315,39.09189394
259,天津市河北区北宁公园景区,天津,4A,117.221004,39.175574,117.2082308,39.16845002
260,精武门·中华武林园,天津,4A,117.138846,39.035062,117.1260149,39.02768607
261,萨马兰奇纪念馆景区,天津,4A,117.090861,38.974599,117.077951,38.96763649
262,杨柳青庄园景区,天津,4A,116.980184,39.16151,116.967669,39.15451157
263,天津黄崖关长城风景游览区,天津,4A,117.455599,40.254002,117.4424199,40.24660746
264,天士力大健康城景区,天津,4A,117.221391,39.215664,117.2086443,39.20851992
265,仁爱团泊湖国际休闲博览园景区,天津,4A,117.164821,38.910805,117.1519019,38.90397371
266,天津市河北区大悲禅院景区,天津,4A,117.197214,39.161493,117.1842727,39.15471816
267,天津光合谷旅游度假区,天津,4A,117.172806,38.894874,117.1598745,38.88818631
268,水高庄园景区,天津,4A,116.939546,39.095138,116.9270805,39.08867462
269,天津南湖绿博园景区,天津,4A,117.137101,39.341121,117.1242729,39.33356168
270,天津金街文化旅游区,天津,4A,117.199184,39.149532,117.1862549,39.14274701
271,国家海洋博物馆,天津,4A,117.801768,39.112442,117.7889473,39.10573807
272,天津热带植物观光园景区,天津,4A,117.101183,39.144264,117.0882682,39.13699457
273,天津海河意式风情区,天津,4A,117.204183,39.140575,117.19129,39.13373993
274,天津海昌极地海洋公园景区,天津,4A,117.668413,39.01542,117.6556101,39.00895343
275,天津市蓟州区梨木台景区,天津,4A,117.550008,40.211406,117.5370524,40.2046045
276,天津欢乐谷景区,天津,4A,117.482987,39.193967,117.4701714,39.18652219
277,五大道文化旅游区,天津,4A,117.209997,39.116392,117.1971696,39.10949434
278,津城静园,天津,3A,117.195893,39.128964,117.1829648,39.12222375
279,津溪桃园,天津,3A,116.948355,39.244395,116.9358236,39.23784526
280,西沽公园,天津,3A,117.18165,39.179597,117.1686755,39.17282961
281,天津邮政博物馆,天津,3A,117.217283,39.133665,117.2044906,39.12662989
282,齐心庄园景区,天津,3A,117.391099,39.347194,117.3780666,39.33981026
283,八仙山国家级自然保护区,天津,3A,117.564887,40.159292,117.5520446,40.15238768
284,民俗博物馆（天后宫）,天津,3A,117.199081,39.148467,117.1861518,39.14168377
285,万源龙顺度假庄园,天津,3A,117.099513,39.266302,117.0865729,39.25899241
286,东丽湖自然艺苑景区,天津,3A,117.483562,39.175877,117.4707339,39.16843682
287,滨海茶淀葡萄科技园,天津,3A,117.736278,39.286157,117.7235331,39.27876219
288,天津瓷房子,天津,3A,117.208899,39.130711,117.1960481,39.12381718
289,天津峰山药王古寺,天津,3A,117.223902,39.004368,117.2111816,38.99730508
290,桂发祥十八街麻花文化馆,天津,3A,117.253272,39.069164,117.240621,39.0618834
291,元古奇石林风景区,天津,3A,117.537119,40.100099,117.524142,40.09323979
292,北方江南景区,天津,3A,117.38586,39.918128,117.3727845,39.91052992
293,蓟洲国际度假旅游区,天津,3A,117.387705,40.120193,117.37456,40.11260231
294,天津利顺德大饭店,天津,3A,117.222823,39.126938,117.2100775,39.11981623
295,估衣街,天津,3A,117.193102,39.152224,117.1801431,39.14548034
296,天津大港奥林匹克博物馆,天津,3A,117.553826,38.938244,117.5410518,38.93181834
297,天津凌奥创意产业园,天津,3A,117.178281,39.071444,117.1653328,39.06471897
298,曹禺故居纪念馆（曹禺剧院）,天津,3A,117.207525,39.142493,117.194653,39.13560957
299,南普公园,天津,3A,117.190291,39.190651,117.1773406,39.18390115
300,蓟州溶洞,天津,3A,117.3846255,40.13654665,117.3715089,40.12891196
301,天津智利风情园,天津,3A,117.3125304,40.07768511,117.2994352,40.07072167
302,小穿乡野公园,天津,3A,117.5491122,40.10672404,117.5361555,40.0999308
303,郭家沟景区,天津,3A,117.4917966,40.19594316,117.478883,40.18830117
304,九龙山国家森林公园,天津,3A,117.5172977,40.15453342,117.504364,40.14732503
305,戏剧博物馆（广东会馆）,天津,3A,117.1885347,39.14699791,117.1755635,39.14026844
306,天津市老城博物馆,天津,3A,117.1896784,39.14756557,117.17671,39.1408349
307,天津科学技术馆,天津,3A,117.2246285,39.09330802,117.211919,39.08618459
308,义聚永酒文化博物馆,天津,3A,117.820423,39.3060621,117.8077187,39.29895626
309,天津音乐街,天津,3A,117.2211429,39.1218344,117.2083914,39.11474506
310,小站练兵园,天津,3A,117.4377252,38.92555916,117.4245898,38.9188122
311,曹家花园,天津,3A,117.1965795,39.16806524,117.1836371,39.16129239
312,天津杨柳青木版年画博物馆,天津,3A,117.2045347,39.10025096,117.1916808,39.0934464
313,西双塘民俗风景区,天津,3A,116.89877,38.86958813,116.886579,38.86267068
314,盐坨公园,天津,3A,117.2134447,39.18405633,117.2006229,39.17705806
315,紫云水岸风景区,天津,3A,117.5778782,40.08992797,117.5651315,40.08281623
316,天津梁启超纪念馆,天津,3A,117.2061458,39.14287442,117.193264,39.13601069
317,小白楼1902欧式风情街,天津,3A,117.2232162,39.12383816,117.2104768,39.11671294
318,李叔同故居纪念馆,天津,3A,117.2030289,39.15052654,117.1901221,39.14369845
319,天津觉悟社纪念馆,天津,3A,117.2026765,39.16550077,117.1897671,39.15866855
320,时代记忆纪念馆,天津,3A,117.50235,38.98255813,117.4896054,38.97541008
321,天津一二·九抗日救亡运动纪念馆,天津,2A,117.1976822,39.05948656,117.1847683,39.05277405
322,安家大院藏珍馆,天津,2A,117.0164511,39.14164234,117.0038621,39.13431237
323,耳闸公园,天津,2A,117.1903078,39.16530363,117.1773394,39.15856153
324,天津图书大厦,天津,2A,117.2267131,39.11701773,117.2140037,39.10984462
325,绿源生态园,天津,2A,116.81552,39.01886115,116.8029816,39.01229853
326,天津金家窑清真寺,天津,2A,117.2024875,39.15646664,117.1895758,39.14964132
327,天津梵花陶情陶艺旅游体验馆,天津,2A,117.1225456,39.06491587,117.1097376,39.05744765
328,里自沽晶宝温泉农庄,天津,2A,117.357564,39.52331011,117.3446127,39.51567219
329,津酒文化园,天津,2A,117.2034475,39.16717005,117.1905436,39.16032759
330,福聚兴机器厂旧址景区,天津,2A,117.189406,39.15972209,117.1764338,39.15298395
331,杨柳青年画馆,天津,2A,117.015044,39.14096432,117.0024658,39.1336271
